model_name,cv_f1_mean,cv_f1_std,train_accuracy,train_precision,train_recall,train_f1,val_accuracy,val_precision,val_recall,val_f1,val_auc,rank
Neural Network,,,0.8109734513274336,0.2888110356908255,0.4584636774417796,0.35437936593229447,0.7941245870693724,0.24839948783610755,0.4045881126173097,0.30781435938119794,0.6819745247581326,1.0
XGBoost,0.2975865310307184,0.00746583173664451,0.8094395280235989,0.35313432835820896,0.8223844282238443,0.4941004489923776,0.7372581406323737,0.21721677074041035,0.5078206465067779,0.3042799125273352,0.6906368505284441,2.0
Support Vector Machine,0.2979388307702596,0.006475844961041569,0.7664110127826942,0.29521134296415197,0.7671185262426138,0.42634985028494155,0.7057574327512978,0.20240403257076386,0.5443169968717414,0.29508196721311475,0.6863164383878988,3.0
Logistic Regression,0.2836012381186225,0.005776449574193315,0.6575811209439528,0.18630933161123667,0.6016684045881127,0.28451676528599606,0.6540821142048135,0.18889940081993062,0.6246089676746611,0.2900726392251816,0.6889602892463561,4.0
Random Forest,0.305375247839236,0.00868817878655948,0.864778761061947,0.4385811254652945,0.6962113312478276,0.5381515314347125,0.7976639924492686,0.24002751031636863,0.36392075078206465,0.28926647326978866,0.7006134028076506,5.0
