"","cntry","happy","sclmeet","inprdsc","health","ctrlife","etfruit","eatveg","dosprt","cgtsmok","alcfreq","height","weighta","fltdpr","flteeff","slprl","wrhpp","fltlnl","enjlf","fltsd","hltprhc","hltprhb","hltprdi","gndr","paccnois"
"8215","DE",8,6,4,2,7,5,5,3,5,4,174,66,2,2,2,3,1,3,1,0,0,0,1,0
"8216","DE",7,4,1,2,9,3,3,7,4,1,178,105,1,1,1,4,1,3,1,0,0,1,1,0
"8217","DE",9,5,4,3,10,2,2,7,6,7,172,81,1,2,1,4,1,3,2,0,1,0,1,0
"8218","DE",9,6,5,2,7,5,4,4,5,3,170,77,1,2,1,3,1,4,1,0,0,0,2,0
"8219","DE",1,5,1,3,8,2,3,7,1,6,161,88,2,3,3,1,2,1,3,0,1,0,2,0
"8220","DE",8,2,4,1,9,3,3,3,4,5,180,105,1,2,2,4,1,3,1,0,0,0,1,0
"8221","DE",8,6,4,2,7,4,4,1,5,7,182,95,4,4,2,1,1,1,2,1,0,0,2,1
"8222","DE",8,3,4,4,5,5,3,0,1,1,166,65,2,4,4,3,2,3,2,0,0,0,2,0
"8223","DE",6,3,1,4,8,1,4,3,2,4,168,67,3,3,1,2,2,1,2,0,1,0,2,0
"8224","DE",8,7,4,3,6,3,4,7,3,2,180,71,2,1,2,3,1,3,1,0,0,0,1,0
"8225","DE",10,6,3,1,10,2,2,2,6,7,170,80,1,1,1,3,1,4,1,0,0,0,1,0
"8226","DE",10,4,4,1,8,2,2,7,6,7,162,63,1,2,1,3,1,4,1,0,0,0,2,0
"8227","DE",9,2,3,2,0,2,4,3,1,3,162,77,2,3,2,2,3,2,3,0,0,0,2,1
"8228","DE",9,3,3,2,8,3,3,6,6,1,159,60,1,2,2,3,1,3,1,1,1,0,2,0
"8229","DE",5,4,4,3,8,3,1,7,1,5,178,73,2,3,3,2,1,3,1,0,0,0,2,0
"8230","DE",8,4,3,1,7,3,2,2,4,4,159,66,1,2,1,3,1,3,2,0,0,0,2,0
"8231","DE",4,6,3,5,7,2,3,7,4,7,153,87,1,1,3,3,3,3,2,1,1,0,2,0
"8232","DE",10,4,5,3,8,4,4,4,2,6,161,52,1,2,3,4,1,3,1,0,0,0,2,0
"8233","DE",8,6,4,2,8,2,2,5,6,6,175,65,1,2,1,3,1,3,1,0,0,0,2,0
"8234","DE",10,6,1,3,9,6,5,0,1,4,150,64,1,2,2,4,1,2,1,0,0,0,2,1
"8235","DE",7,2,3,2,8,2,2,1,6,5,173,83,2,2,3,2,3,1,NA,0,0,0,2,0
"8236","DE",8,7,4,2,6,3,4,6,3,2,186,86,1,2,2,3,2,3,1,0,0,0,1,0
"8237","DE",6,2,0,4,7,6,6,7,1,1,183,79,1,1,4,1,2,1,1,0,0,0,1,0
"8238","DE",9,5,3,3,9,3,3,7,1,6,180,73,1,2,3,3,1,4,2,0,0,0,1,0
"8239","DE",10,5,3,2,8,1,4,1,6,3,174,78,1,2,1,2,3,2,1,1,0,0,1,0
"8240","DE",9,4,3,3,9,3,3,3,4,6,174,98,1,2,1,3,1,3,1,0,1,0,2,0
"8241","DE",5,3,1,4,9,3,3,0,5,3,157,55,1,1,2,3,1,1,1,0,0,0,2,0
"8242","DE",7,4,3,3,9,2,3,5,6,5,164,84,1,2,3,3,1,3,1,0,0,0,2,0
"8243","DE",9,6,4,1,6,4,2,1,5,3,163,56,1,2,1,4,1,4,1,0,0,0,2,0
"8244","DE",3,6,1,4,7,3,3,7,3,2,179,90,3,3,2,1,2,1,2,0,0,0,1,0
"8245","DE",10,5,2,3,9,2,3,7,6,5,180,79,2,2,2,2,1,2,2,0,0,0,1,0
"8246","DE",8,6,5,3,9,3,3,2,3,2,195,133,1,2,3,4,1,4,2,0,0,0,1,0
"8247","DE",8,5,2,2,2,3,3,7,3,7,159,59,1,2,1,4,1,4,1,0,1,0,2,0
"8248","DE",8,6,4,2,8,2,4,7,4,6,178,93,1,2,3,4,1,3,1,1,1,0,1,0
"8249","DE",8,4,4,1,10,2,2,7,6,5,179,67,1,1,1,3,1,3,1,0,0,0,1,0
"8250","DE",8,4,4,1,8,2,3,7,1,2,195,90,1,4,2,3,2,3,2,0,0,0,1,1
"8251","DE",8,6,3,2,5,2,4,7,2,7,168,62,1,1,1,3,1,3,1,0,0,0,2,0
"8252","DE",8,4,4,2,7,2,2,3,5,7,168,94,1,2,1,3,2,3,1,0,0,0,2,0
"8253","DE",8,6,4,2,8,3,2,4,2,2,164,60,3,3,3,2,3,2,3,0,0,0,2,1
"8254","DE",8,5,4,4,7,2,2,2,6,7,175,58,1,2,2,3,1,4,2,1,0,0,2,0
"8255","DE",10,7,6,1,10,4,3,7,6,4,195,96,1,2,1,4,1,4,1,0,0,0,1,0
"8256","DE",9,4,4,2,8,3,4,4,6,3,188,70,1,2,2,4,1,3,1,0,0,0,2,0
"8257","DE",10,7,3,2,8,3,1,1,4,3,191,75,2,1,1,3,2,4,1,0,0,0,1,0
"8258","DE",7,5,4,3,5,1,3,7,6,7,158,75,2,2,2,3,1,2,2,0,1,0,2,0
"8259","DE",8,5,4,2,7,4,2,7,4,2,178,93,1,1,3,4,1,4,1,0,1,0,1,0
"8260","DE",9,6,4,2,8,3,3,4,5,5,160,54,2,1,2,3,1,3,2,0,0,0,2,1
"8261","DE",10,4,4,1,8,2,2,5,4,3,176,86,1,1,1,4,1,4,1,0,0,0,2,0
"8262","DE",8,3,2,3,6,3,1,7,6,4,186,96,1,1,1,3,1,2,1,0,0,0,1,0
"8263","DE",9,4,6,1,9,2,3,5,6,7,169,72,1,1,3,3,1,3,1,0,0,0,2,0
"8264","DE",9,5,4,2,8,3,3,3,6,2,185,90,1,2,1,3,1,3,1,0,0,0,1,0
"8265","DE",8,6,4,3,8,3,3,5,6,4,182,105,1,2,2,3,1,4,2,0,0,0,1,0
"8266","DE",8,2,2,2,7,3,3,7,4,1,187,86,1,2,3,3,1,2,1,0,1,0,1,0
"8267","DE",5,4,2,4,9,2,2,3,4,1,186,92,1,2,1,3,1,2,1,1,1,0,1,0
"8268","DE",1,5,2,4,3,3,3,1,6,7,175,67,4,4,4,2,3,2,3,1,1,0,1,0
"8269","DE",8,4,4,3,9,3,3,0,6,1,177,95,1,1,2,3,1,3,1,0,1,0,1,0
"8270","DE",10,6,4,2,7,3,3,1,6,6,158,57,1,1,1,3,1,3,1,0,0,0,2,0
"8271","DE",8,3,3,2,8,3,3,0,6,4,164,74,1,1,1,3,1,2,1,0,0,0,2,0
"8272","DE",8,7,4,2,8,2,3,4,4,3,181,95,1,1,2,3,2,3,2,0,0,0,1,0
"8273","DE",8,5,2,2,5,5,3,7,1,7,186,95,1,1,2,4,1,3,1,0,0,0,1,0
"8274","DE",7,3,4,3,6,2,2,4,6,3,155,63,1,2,2,3,1,3,1,0,1,0,2,0
"8275","DE",8,6,3,2,8,2,3,6,6,5,163,62,1,1,2,3,1,3,2,0,0,0,2,0
"8276","DE",6,2,2,3,8,4,3,7,4,2,160,90,1,2,1,3,1,1,1,0,1,0,2,0
"8277","DE",8,4,5,1,8,3,4,3,5,4,165,54,1,1,1,3,1,3,2,0,0,0,2,0
"8278","DE",6,6,3,3,7,4,3,2,6,1,175,82,1,1,3,2,2,2,2,1,0,0,1,0
"8279","DE",10,5,6,1,7,3,3,1,6,6,172,60,1,1,1,4,1,3,1,1,0,0,2,0
"8280","DE",8,5,4,3,8,3,2,3,6,2,160,78,1,2,1,3,1,3,1,0,0,0,2,0
"8281","DE",6,6,4,3,7,4,3,2,6,6,190,125,2,1,1,3,2,2,2,0,1,1,1,0
"8282","DE",9,4,4,2,5,3,4,7,6,6,175,115,2,1,1,3,1,3,1,0,1,0,1,0
"8283","DE",7,5,2,3,5,3,3,5,1,7,175,90,1,2,1,2,1,4,1,0,0,0,1,0
"8284","DE",10,5,3,3,9,3,2,7,6,6,162,90,2,1,2,3,1,3,1,0,0,0,2,0
"8285","DE",8,4,2,1,10,3,3,7,3,3,169,61,4,1,3,3,1,2,1,0,0,0,2,0
"8286","DE",9,2,3,2,8,3,2,7,6,6,159,54,1,1,1,3,1,2,1,0,0,0,2,0
"8287","DE",7,4,2,2,6,2,3,3,5,3,167,62,1,2,1,3,1,3,1,0,0,0,2,0
"8288","DE",4,5,3,2,4,3,3,7,1,4,165,58,2,2,2,2,2,1,2,0,0,0,2,1
"8289","DE",9,7,6,3,5,6,6,1,6,4,172,86,1,2,2,4,1,3,1,0,1,1,1,0
"8290","DE",10,7,5,4,10,3,3,0,1,7,163,89,1,2,4,2,1,2,1,1,0,1,2,0
"8291","DE",9,4,6,4,10,1,1,7,6,7,167,70,2,3,1,2,1,2,2,0,0,0,2,0
"8292","DE",7,4,1,2,5,2,3,7,6,7,165,75,3,1,2,2,2,1,2,0,0,0,1,0
"8293","DE",8,4,3,2,5,4,4,6,1,4,178,70,2,2,2,2,1,3,2,0,0,0,1,0
"8294","DE",10,7,5,1,9,4,3,5,5,2,167,64,1,2,2,3,1,4,1,0,0,0,2,0
"8295","DE",6,5,6,4,8,5,4,7,1,2,175,90,3,3,3,2,1,3,1,1,1,0,1,1
"8296","DE",8,6,4,1,10,4,4,7,6,7,182,112,2,2,2,4,1,4,1,0,0,0,1,0
"8297","DE",5,6,4,2,8,2,3,7,3,7,165,80,2,2,1,2,3,2,2,0,0,0,2,0
"8298","DE",8,7,4,3,6,1,6,0,6,6,168,65,1,2,2,3,1,3,1,0,0,0,2,0
"8299","DE",8,6,4,3,6,3,3,1,1,7,165,65,2,2,2,3,1,2,1,0,0,0,2,0
"8300","DE",10,6,6,1,10,3,5,0,1,7,168,72,1,2,2,4,1,4,2,0,0,0,1,0
"8301","DE",10,6,5,2,6,2,2,1,3,3,173,76,2,2,1,3,2,3,2,0,0,0,2,0
"8302","DE",8,6,4,2,8,4,2,3,5,3,178,78,1,1,2,3,1,3,1,0,1,0,1,0
"8303","DE",8,4,3,3,6,3,4,7,4,3,177,110,1,2,3,3,1,3,1,1,1,0,1,0
"8304","DE",8,5,4,4,9,2,3,0,4,2,182,98,2,1,3,1,3,1,1,0,1,1,1,0
"8305","DE",5,1,2,2,10,5,6,0,6,7,170,55,1,1,1,3,2,2,2,0,0,0,1,0
"8306","DE",10,4,5,1,9,1,2,7,5,4,176,72,1,1,2,3,1,3,1,0,0,0,2,0
"8307","DE",8,6,4,1,9,2,3,5,1,4,178,90,1,2,1,4,1,4,1,0,0,1,1,0
"8308","DE",8,2,4,1,7,2,2,7,1,6,168,61,1,2,2,3,1,3,2,0,0,0,2,0
"8309","DE",10,6,3,1,10,2,1,2,1,2,178,75,1,2,3,4,1,4,1,0,0,0,1,0
"8310","DE",6,5,4,2,7,3,3,3,3,2,191,90,2,1,2,2,1,2,1,0,0,0,1,0
"8311","DE",10,4,4,5,4,3,4,7,4,6,189,98,2,3,4,4,1,4,1,0,1,1,1,0
"8312","DE",9,7,4,2,7,3,3,3,6,6,165,52,1,1,1,4,1,4,1,0,0,0,2,0
"8313","DE",6,6,3,2,8,4,3,7,6,6,171,110,2,2,3,3,2,3,2,1,0,0,2,0
"8314","DE",7,6,5,4,7,4,3,6,1,2,183,70,2,2,2,3,1,3,2,0,0,0,1,0
"8315","DE",5,6,3,2,8,5,5,2,1,3,164,73,1,2,2,3,1,3,1,0,0,0,2,0
"8316","DE",10,5,4,3,8,6,5,4,4,2,190,90,1,2,2,4,1,4,1,0,1,0,1,0
"8317","DE",10,6,4,2,7,2,3,7,4,3,168,67,1,2,2,4,1,4,1,0,0,0,2,0
"8318","DE",9,5,4,2,10,3,3,5,6,6,166,65,1,1,1,3,1,3,1,0,0,0,2,0
"8319","DE",9,6,4,3,9,3,3,3,6,3,169,75,1,2,1,4,1,3,1,0,1,0,2,0
"8320","DE",7,5,4,3,8,3,4,0,6,5,168,90,2,2,3,2,1,4,1,0,1,1,2,0
"8321","DE",7,6,4,3,7,4,3,5,6,3,178,79,1,2,1,2,2,2,1,0,0,0,1,0
"8322","DE",8,4,2,2,5,3,3,1,6,4,182,89,1,1,2,3,1,3,1,0,0,0,1,0
"8323","DE",7,6,5,1,5,3,3,7,6,6,182,85,2,2,2,3,2,2,1,0,0,0,1,0
"8324","DE",8,5,4,1,9,2,3,7,6,3,168,78,1,2,1,3,1,3,1,0,0,0,2,0
"8325","DE",7,2,3,4,6,4,5,0,1,6,190,95,2,2,3,3,1,3,2,0,0,0,1,0
"8326","DE",8,6,4,2,8,2,2,5,6,2,170,67,1,1,2,4,1,3,1,0,1,0,1,0
"8327","DE",9,6,5,2,8,4,1,3,4,5,175,65,2,1,1,4,3,3,1,1,0,0,1,0
"8328","DE",9,6,4,2,7,3,3,7,6,7,168,100,1,2,3,3,1,3,1,0,0,0,2,0
"8329","DE",8,4,2,1,8,5,3,1,2,6,170,97,1,1,2,4,2,4,1,0,0,0,2,0
"8330","DE",6,4,1,4,8,6,5,5,6,5,192,95,2,2,2,2,2,3,2,1,1,1,1,0
"8331","DE",8,6,4,2,9,3,3,7,6,2,163,65,2,2,2,3,1,3,2,1,1,0,2,0
"8332","DE",8,6,5,2,9,1,2,3,6,6,179,75,1,1,2,4,1,3,1,1,0,0,1,0
"8333","DE",7,3,6,2,8,4,3,5,4,2,188,91,1,2,1,3,1,3,1,0,0,0,1,0
"8334","DE",9,6,3,2,7,4,4,1,5,3,165,63,2,2,1,1,1,3,2,0,0,0,2,0
"8335","DE",9,6,3,3,10,3,4,4,6,7,172,95,1,1,1,2,1,2,1,0,0,0,2,0
"8336","DE",8,6,4,2,7,3,4,3,4,5,167,78,1,1,1,4,1,3,2,0,1,1,2,0
"8337","DE",8,5,3,2,7,3,3,7,6,2,176,80,1,1,1,3,1,3,1,0,0,0,1,0
"8338","DE",10,7,4,1,10,4,3,7,2,6,180,83,1,2,1,4,1,4,1,0,0,0,1,0
"8339","DE",9,4,1,1,8,3,5,7,2,4,165,75,1,2,1,4,1,4,1,0,0,0,2,0
"8340","DE",8,5,2,1,10,4,2,7,6,4,189,95,1,1,1,4,1,3,1,0,0,0,1,0
"8341","DE",7,6,4,1,9,3,2,4,6,7,170,58,1,1,3,3,2,2,2,0,0,0,2,0
"8342","DE",8,6,5,2,5,3,3,1,6,3,164,71,2,2,2,4,1,3,2,0,0,0,2,0
"8343","DE",9,6,3,2,9,1,3,3,6,1,184,78,1,2,1,4,1,3,1,0,1,0,1,0
"8344","DE",9,5,4,2,9,2,4,5,5,3,178,102,1,2,2,3,1,3,1,0,0,0,2,0
"8345","DE",8,2,2,3,6,3,4,0,6,5,172,65,2,4,2,2,2,3,2,0,0,0,1,0
"8346","DE",8,5,6,3,7,3,3,7,2,2,168,58,1,2,1,3,1,3,2,0,0,0,2,0
"8347","DE",7,6,3,3,9,3,6,4,1,5,168,70,1,1,2,3,1,4,1,1,0,0,1,0
"8348","DE",7,6,4,2,8,4,3,4,6,3,174,70,2,1,2,3,2,3,2,0,0,0,2,0
"8349","DE",8,6,4,2,9,3,3,4,2,2,170,65,2,1,2,3,1,4,1,1,0,0,2,0
"8350","DE",7,6,4,3,7,3,1,3,4,4,170,68,1,3,2,3,2,2,1,0,0,0,2,0
"8351","DE",8,6,3,2,6,2,2,1,6,7,168,78,1,2,2,3,1,3,2,0,0,0,2,0
"8352","DE",7,6,6,2,7,7,5,4,5,4,165,52,2,2,2,3,1,3,2,0,0,0,2,0
"8353","DE",10,4,6,1,8,1,1,7,6,7,155,82,1,1,3,3,1,4,1,0,0,0,2,0
"8354","DE",8,6,3,3,9,5,4,2,6,7,165,88,2,4,4,3,2,1,2,0,1,0,2,0
"8355","DE",8,6,2,3,2,3,5,3,6,5,171,64,2,4,4,1,4,1,4,1,0,0,2,0
"8356","DE",9,5,4,3,8,4,5,7,4,6,158,60,2,3,1,3,3,2,2,0,0,0,2,0
"8357","DE",8,6,4,3,0,4,3,7,1,6,169,67,3,4,4,2,2,1,4,0,0,0,2,0
"8358","DE",7,4,4,3,8,4,3,1,6,5,170,90,2,3,3,2,2,2,2,1,1,0,2,0
"8359","DE",9,6,2,3,9,3,5,4,4,2,176,103,1,2,2,3,1,2,1,0,1,0,1,0
"8360","DE",7,4,4,3,5,3,5,7,1,6,160,100,2,3,4,3,2,3,2,0,0,1,2,0
"8361","DE",7,6,4,2,8,5,3,7,6,6,167,72,1,2,2,3,1,3,1,0,1,0,2,0
"8362","DE",9,6,4,4,5,5,4,7,1,6,158,70,1,3,1,3,1,3,1,1,0,0,2,0
"8363","DE",10,4,2,2,10,6,4,7,5,4,169,80,1,1,1,3,1,2,1,0,0,0,2,0
"8364","DE",8,3,4,2,8,3,5,2,4,1,175,82,1,1,1,2,1,1,1,0,0,0,1,0
"8365","DE",6,6,1,4,4,4,4,0,1,3,182,123,2,4,4,2,3,1,2,1,1,1,1,0
"8366","DE",6,4,3,3,9,5,4,1,6,5,161,75,3,2,3,2,2,2,1,0,1,1,2,0
"8367","DE",9,4,5,3,6,3,3,3,4,4,184,92,1,1,1,4,1,4,1,0,1,0,1,0
"8368","DE",8,6,6,2,9,1,2,4,3,4,180,89,2,2,3,3,1,2,2,0,1,0,1,0
"8369","DE",7,5,4,3,5,3,3,NA,6,2,188,85,1,1,1,2,1,4,2,0,0,1,1,0
"8370","DE",9,6,4,1,6,3,4,2,1,3,176,62,1,2,2,4,1,3,1,0,0,0,1,0
"8371","DE",3,4,2,4,6,3,3,1,6,7,165,81,2,2,2,2,2,2,2,0,1,0,2,0
"8372","DE",8,7,4,2,5,2,2,2,6,4,161,52,2,2,3,2,1,3,2,1,0,0,2,0
"8373","DE",10,6,3,2,10,4,2,7,4,6,173,90,2,3,3,2,3,2,2,0,0,0,1,0
"8374","DE",10,6,5,2,8,3,3,4,3,3,165,80,1,1,1,4,1,4,1,0,0,0,2,0
"8375","DE",8,4,4,2,7,3,3,4,6,6,164,88,1,1,1,3,1,4,1,0,1,0,2,0
"8376","DE",3,6,2,2,8,3,4,3,4,2,177,73,2,3,4,2,3,2,3,0,0,0,2,0
"8377","DE",5,6,3,2,8,3,3,7,4,3,164,59,1,2,1,2,1,2,1,0,0,0,2,0
"8378","DE",9,6,4,2,9,2,3,7,4,4,164,72,2,2,2,3,1,3,2,0,0,0,2,0
"8379","DE",8,4,3,2,8,3,3,1,1,2,186,100,1,2,2,2,1,3,2,0,0,0,1,0
"8380","DE",8,6,3,2,9,5,5,3,1,2,180,88,2,1,2,4,1,4,2,0,0,0,1,0
"8381","DE",9,4,5,3,7,4,3,1,6,2,180,85,1,2,3,4,1,3,1,1,1,0,2,0
"8382","DE",2,2,0,3,10,4,4,7,1,4,162,50,NA,2,4,2,2,2,2,0,0,0,2,0
"8383","DE",8,6,3,1,8,2,3,7,6,5,168,61,1,1,2,3,1,3,1,0,0,0,2,0
"8384","DE",8,6,4,2,9,3,3,7,4,1,178,72,1,2,2,4,1,4,1,0,0,0,1,0
"8385","DE",9,3,1,3,10,2,2,7,4,7,172,55,1,2,1,4,1,3,1,0,0,0,2,0
"8386","DE",8,5,2,2,8,3,3,1,4,3,183,88,1,2,2,4,1,3,1,0,1,0,1,0
"8387","DE",9,6,4,3,8,3,4,5,4,6,163,66,3,3,2,2,1,3,2,0,1,0,2,0
"8388","DE",7,5,5,1,8,2,2,7,5,3,158,57,1,1,2,3,1,3,1,0,0,0,2,0
"8389","DE",9,5,4,3,8,2,3,2,6,3,170,85,2,1,4,4,2,4,2,0,0,0,2,0
"8390","DE",8,6,5,2,7,4,3,5,6,4,172,62,1,2,2,3,1,2,2,0,0,0,2,0
"8391","DE",7,6,4,4,9,4,3,7,4,3,178,80,1,2,1,3,1,3,1,0,1,0,1,0
"8392","DE",3,5,1,2,4,6,6,7,6,2,189,115,1,1,3,1,1,2,1,0,1,0,1,0
"8393","DE",10,7,5,3,10,2,3,7,4,6,170,84,1,1,1,4,1,4,1,0,1,0,1,0
"8394","DE",10,3,4,2,10,2,2,7,4,2,178,68,2,2,1,3,1,2,2,0,0,0,2,0
"8395","DE",7,3,2,3,6,3,3,7,4,7,165,90,2,3,3,2,3,2,2,1,0,0,2,0
"8396","DE",8,4,4,3,5,3,4,7,2,5,165,98,2,4,3,2,1,2,1,1,0,0,2,0
"8397","DE",10,4,4,1,10,2,4,7,4,3,165,69,1,1,2,4,1,4,1,0,1,0,2,0
"8398","DE",6,3,3,3,6,3,4,0,6,3,160,62,2,1,2,2,2,2,2,0,1,0,2,0
"8399","DE",8,6,3,1,6,3,3,6,6,3,178,75,1,2,2,3,4,4,1,0,0,0,2,0
"8400","DE",8,6,5,2,8,3,3,7,6,3,172,70,1,1,1,3,1,3,1,0,0,0,2,0
"8401","DE",6,4,3,3,7,3,5,3,4,2,160,70,2,3,2,3,1,3,2,0,0,0,2,1
"8402","DE",0,5,4,5,4,6,5,7,1,5,170,80,4,4,4,1,4,1,4,0,0,0,1,0
"8403","DE",8,6,4,3,8,2,2,7,6,2,180,80,1,4,1,4,1,3,1,0,0,0,1,1
"8404","DE",9,4,4,3,9,3,2,6,6,3,195,116,1,1,1,3,1,3,1,0,1,1,1,0
"8405","DE",9,5,3,2,7,3,3,1,6,3,160,65,1,2,2,3,1,3,1,0,0,0,2,0
"8406","DE",8,4,3,3,8,3,4,3,6,3,159,50,2,2,2,2,1,2,2,0,1,0,2,0
"8407","DE",5,7,3,3,5,4,3,4,6,7,170,75,3,2,2,3,2,2,2,0,0,0,1,0
"8408","DE",8,6,4,3,8,1,2,3,4,6,180,79,1,2,2,3,1,2,1,0,0,0,1,0
"8409","DE",9,5,4,2,8,6,5,4,1,2,183,85,1,1,1,4,1,4,1,0,0,0,1,0
"8410","DE",7,5,4,2,7,3,3,2,3,4,163,65,1,2,1,3,2,3,1,0,0,0,2,0
"8411","DE",8,6,4,2,7,4,3,5,6,2,165,67,1,1,1,2,1,3,1,0,0,0,1,0
"8412","DE",7,6,1,2,9,2,1,4,2,4,164,64,1,1,1,3,1,3,1,0,1,0,2,0
"8413","DE",4,1,2,4,5,2,2,0,5,7,171,61,2,3,2,2,2,1,2,0,0,1,1,0
"8414","DE",9,3,4,3,7,3,3,0,6,1,160,75,2,3,1,2,1,2,1,0,0,0,2,0
"8415","DE",10,6,4,1,9,2,3,7,6,2,172,63,1,1,2,4,1,4,1,0,0,0,2,0
"8416","DE",8,6,4,2,8,5,4,3,3,2,172,72,1,2,1,3,1,3,1,0,0,0,1,0
"8417","DE",10,4,6,2,8,6,5,1,6,2,168,85,1,1,1,3,1,3,1,0,1,0,1,0
"8418","DE",9,7,3,2,6,4,4,3,4,7,165,77,2,2,4,3,1,3,1,1,0,0,2,0
"8419","DE",7,6,4,2,8,1,3,4,6,6,170,50,1,1,1,2,2,2,2,0,0,0,2,0
"8420","DE",9,4,3,2,9,3,2,5,4,6,172,92,1,2,1,3,1,2,1,0,0,0,2,0
"8421","DE",5,4,3,4,10,3,6,2,6,6,161,67,2,2,2,3,1,2,1,0,0,0,2,0
"8422","DE",9,3,6,5,6,3,3,5,2,5,160,62,2,3,1,3,1,3,2,0,1,0,2,0
"8423","DE",10,4,2,1,10,2,3,7,6,5,165,68,1,1,1,3,1,4,1,0,0,0,2,0
"8424","DE",9,4,3,3,6,1,3,0,4,2,162,82,1,2,2,3,1,3,1,0,1,1,1,1
"8425","DE",7,7,4,3,6,5,4,2,1,2,183,84,2,1,2,3,1,3,1,0,0,0,1,0
"8426","DE",9,6,4,2,7,3,3,7,6,7,185,90,2,1,2,3,2,3,2,0,0,0,1,0
"8427","DE",7,6,4,1,10,3,3,2,6,7,166,70,1,2,1,3,1,3,1,0,0,0,2,0
"8428","DE",8,6,4,2,7,3,3,3,2,3,180,75,1,1,1,3,2,3,1,0,0,0,1,1
"8429","DE",9,6,4,3,8,3,4,5,4,4,172,100,1,1,3,4,1,4,1,0,0,0,1,0
"8430","DE",8,5,4,1,7,3,2,1,4,3,167,65,1,3,2,3,1,4,1,0,0,0,2,0
"8431","DE",8,6,4,3,8,3,2,4,1,2,175,85,1,3,2,3,2,3,1,0,0,0,2,0
"8432","DE",8,6,5,1,8,2,3,3,4,2,182,70,1,2,1,3,1,3,1,0,0,0,1,0
"8433","DE",7,4,3,1,6,4,3,7,6,2,172,80,2,2,2,3,1,3,2,0,0,0,2,0
"8434","DE",8,3,4,3,6,2,5,7,6,6,165,88,1,1,2,3,1,3,1,1,1,0,2,0
"8435","DE",9,3,2,2,8,1,3,5,6,2,170,76,1,1,2,3,1,3,1,0,0,0,2,0
"8436","DE",8,7,3,2,9,6,2,5,4,4,172,80,1,1,2,3,1,4,1,0,0,0,2,0
"8437","DE",8,6,4,3,8,3,4,1,3,3,175,90,2,1,2,4,1,3,1,0,0,0,1,0
"8438","DE",9,6,5,2,7,3,2,7,4,3,184,79,1,1,2,3,1,4,1,0,0,0,1,0
"8439","DE",9,6,5,2,8,4,3,7,6,3,195,90,1,1,1,3,1,2,1,0,0,0,1,0
"8440","DE",7,5,3,1,7,3,2,3,4,2,180,95,1,2,1,2,1,1,1,0,0,0,1,0
"8441","DE",10,5,3,2,8,2,2,7,6,3,160,56,1,1,2,3,1,4,2,0,0,0,2,0
"8442","DE",6,2,1,3,9,4,3,2,4,1,177,75,2,1,2,3,2,2,1,0,0,0,1,0
"8443","DE",8,4,3,2,8,4,3,5,2,6,173,104,2,1,2,3,1,4,1,0,0,0,1,0
"8444","DE",8,3,4,3,7,1,3,7,4,7,160,63,3,3,3,2,2,2,3,0,0,0,2,1
"8445","DE",9,4,3,1,8,2,3,2,6,3,165,60,1,1,2,3,1,3,1,0,0,0,2,0
"8446","DE",10,7,3,1,10,5,4,7,1,5,182,91,2,2,2,4,1,3,2,0,1,1,1,0
"8447","DE",9,7,3,2,10,2,2,4,4,2,182,80,1,2,1,3,1,3,1,0,0,0,1,0
"8448","DE",7,6,3,2,7,3,2,7,6,3,177,75,1,1,1,3,1,3,1,0,0,0,1,0
"8449","DE",10,2,3,3,10,6,5,0,6,6,163,75,2,1,3,3,1,1,2,0,0,0,1,0
"8450","DE",8,6,4,2,8,3,3,6,1,1,176,80,1,1,1,3,1,3,2,0,1,0,1,0
"8451","DE",8,6,2,3,7,2,3,3,6,2,177,105,1,2,2,3,1,2,1,1,0,0,1,0
"8452","DE",7,2,4,2,6,5,3,2,1,7,187,65,2,2,1,3,2,3,2,0,0,0,1,0
"8453","DE",8,6,2,2,8,4,3,4,5,2,182,80,2,2,2,3,1,2,2,0,0,0,1,0
"8454","DE",7,3,3,2,6,3,2,7,5,6,165,70,1,2,2,3,1,3,2,0,0,0,2,0
"8455","DE",8,4,4,2,7,3,3,3,6,3,194,92,2,2,2,2,1,2,1,0,0,0,1,0
"8456","DE",8,6,4,1,8,5,4,3,6,4,168,57,1,2,1,3,1,4,2,0,0,0,2,0
"8457","DE",10,2,4,4,8,1,4,0,4,6,163,93,2,3,4,2,1,3,2,1,1,0,2,0
"8458","DE",8,6,4,2,8,3,4,5,2,6,164,68,1,1,2,3,1,3,1,0,0,0,2,0
"8459","DE",7,4,4,3,9,6,4,0,1,4,182,117,1,2,2,2,1,2,1,1,1,0,1,1
"8460","DE",7,3,3,3,6,3,3,2,5,4,176,73,1,2,1,3,1,2,1,1,0,0,1,0
"8461","DE",9,7,4,2,3,4,3,7,4,2,170,89,2,3,4,3,1,4,2,0,0,0,2,0
"8462","DE",8,7,4,2,8,3,5,5,1,3,181,92,2,1,1,2,2,2,1,0,0,0,1,0
"8463","DE",10,3,4,2,10,3,3,2,6,6,174,64,1,1,1,4,1,3,1,0,0,0,1,0
"8464","DE",8,5,4,1,6,2,4,7,6,5,184,90,2,3,1,3,2,3,2,1,0,0,2,0
"8465","DE",9,5,2,2,4,2,3,0,6,7,173,60,1,2,2,3,1,4,1,1,0,0,2,0
"8466","DE",7,3,3,3,6,3,3,3,4,5,170,94,3,3,3,2,1,2,3,0,0,0,2,0
